title,rating,year,actors,languages,runtime,url
White Heat,8.1,1949,James Cagney;Virginia Mayo;Edmond O'Brien;Margaret Wycherly,English,114,https://www.imdb.com//title/tt0042041/
Banshun,8.3,1949,Chishû Ryû;Setsuko Hara;Yumeji Tsukioka;Haruko Sugimura,Japanese,108,https://www.imdb.com//title/tt0041154/
Los olvidados,8.3,1950,Alfonso Mejía;Roberto Cobo;Estela Inda;Miguel Inclán,Spanish,85,https://www.imdb.com//title/tt0042804/
All About Eve,8.2,1950,Bette Davis;Anne Baxter;George Sanders;Celeste Holm,English;French,138,https://www.imdb.com//title/tt0042192/
Sunset Boulevard,8.4,1950,William Holden;Gloria Swanson;Erich von Stroheim;Nancy Olson,English,110,https://www.imdb.com//title/tt0043014/
Orphée,8.0,1950,Jean Marais;François Périer;María Casares;Marie Déa,French,112,https://www.imdb.com//title/tt0041719/
Rashômon,8.2,1950,Toshirô Mifune;Machiko Kyô;Masayuki Mori;Takashi Shimura,Japanese,88,https://www.imdb.com//title/tt0042876/
A Streetcar Named Desire,8.0,1951,Vivien Leigh;Marlon Brando;Kim Hunter;Karl Malden,English;Spanish,122,https://www.imdb.com//title/tt0044081/
Het grote carnaval,8.1,1951,Kirk Douglas;Jan Sterling;Robert Arthur;Porter Hall,English;Spanish;Latin,111,https://www.imdb.com//title/tt0043338/
De maniak,8.0,1951,Farley Granger;Robert Walker;Ruth Roman;Leo G. Carroll,English;French,101,https://www.imdb.com//title/tt0044079/
Early Summer,8.2,1951,Setsuko Hara;Chishû Ryû;Chikage Awashima;Kuniko Miyake,Japanese;English,125,https://www.imdb.com//title/tt0043313/
Scrooge,8.1,1951,Alastair Sim;Jack Warner;Kathleen Harrison;Mervyn Johns,English,86,https://www.imdb.com//title/tt0044008/
Limelight,8.1,1952,Charles Chaplin;Claire Bloom;Nigel Bruce;Buster Keaton,English,137,https://www.imdb.com//title/tt0044837/
Saikaku ichidai onna,8.1,1952,Kinuyo Tanaka;Tsukie Matsuura;Ichirô Sugai;Toshirô Mifune,Japanese,148,https://www.imdb.com//title/tt0045112/
Umberto D.,8.2,1952,Carlo Battisti;Maria Pia Casilio;Lina Gennari;Ileana Simova,Italian,89,https://www.imdb.com//title/tt0045274/
Ikiru,8.3,1952,Takashi Shimura;Nobuo Kaneko;Shin'ichi Himori;Haruo Tanaka,Japanese,143,https://www.imdb.com//title/tt0044741/
Singin' in the Rain,8.3,1952,Gene Kelly;Gene Kelly;Donald O'Connor;Debbie Reynolds;Jean Hagen,English,103,https://www.imdb.com//title/tt0045152/
Het loon van de Angst,8.1,1953,Yves Montand;Charles Vanel;Peter van Eyck;Folco Lulli,French;English;Spanish;German;Italian;Russian,131,https://www.imdb.com//title/tt0046268/
Ugetsu monogatari,8.2,1953,Masayuki Mori;Machiko Kyô;Kinuyo Tanaka;Mitsuko Mito,Japanese,96,https://www.imdb.com//title/tt0046478/
Roman Holiday,8.0,1953,Gregory Peck;Audrey Hepburn;Eddie Albert;Hartley Power,English;Italian;German,118,https://www.imdb.com//title/tt0046250/
Él,8.0,1953,Arturo de Córdova;Delia Garcés;Aurora Walker;Carlos Martínez Baena,Spanish,92,https://www.imdb.com//title/tt0045361/
Tôkyô monogatari,8.2,1953,Chishû Ryû;Chieko Higashiyama;Sô Yamamura;Setsuko Hara,Japanese;English,136,https://www.imdb.com//title/tt0046438/
Dial M for Murder,8.2,1954,Ray Milland;Grace Kelly;Robert Cummings;John Williams,English,105,https://www.imdb.com//title/tt0046912/
On the Waterfront,8.1,1954,Marlon Brando;Karl Malden;Lee J. Cobb;Rod Steiger,English,108,https://www.imdb.com//title/tt0047296/
Shichinin no samurai,8.6,1954,Toshirô Mifune;Takashi Shimura;Keiko Tsushima;Yukiko Shimazaki,Japanese,207,https://www.imdb.com//title/tt0047478/
Sanshô dayû,8.4,1954,Kinuyo Tanaka;Yoshiaki Hanayagi;Kyôko Kagawa;Eitarô Shindô,Japanese,124,https://www.imdb.com//title/tt0047445/
Rear Window,8.5,1954,James Stewart;Grace Kelly;Wendell Corey;Thelma Ritter,English,112,https://www.imdb.com//title/tt0047396/
Ordet,8.3,1955,Henrik Malberg;Emil Hass Christensen;Preben Lerdorff Rye;Hanne Aagesen,Danish,126,https://www.imdb.com//title/tt0048452/
Pather Panchali,8.5,1955,Kanu Bannerjee;Karuna Bannerjee;Subir Banerjee;Chunibala Devi,Bengali,125,https://www.imdb.com//title/tt0048473/
Du rififi chez les hommes,8.1,1955,Jean Servais;Carl Möhner;Robert Manuel;Janine Darcey,French;Italian;English,118,https://www.imdb.com//title/tt0048021/
Demonen,8.1,1955,Simone Signoret;Véra Clouzot;Paul Meurisse;Charles Vanel,French;English,117,https://www.imdb.com//title/tt0046911/
Tuntematon sotilas,8.0,1955,Kosti Klemelä;Heikki Savolainen;Reino Tolvanen;Veikko Sinisalo,Finnish,177,https://www.imdb.com//title/tt0048752/
Biruma no tategoto,8.1,1956,Rentarô Mikuni;Shôji Yasui;Tatsuya Mihashi;Jun Hamamura,Japanese;English;Burmese,116,https://www.imdb.com//title/tt0049012/
Un condamné à mort s'est échappé ou Le vent souffle où il veut,8.3,1956,François Leterrier;Charles Le Clainche;Maurice Beerblock;Roland Monod,French;German,101,https://www.imdb.com//title/tt0049902/
De Tien Geboden,7.9,1956,Charlton Heston;Yul Brynner;Anne Baxter;Edward G. Robinson,English,220,https://www.imdb.com//title/tt0049833/
The Killing,8.0,1956,Sterling Hayden;Coleen Gray;Vince Edwards;Jay C. Flippen,English,84,https://www.imdb.com//title/tt0049406/
Aparajito,8.4,1956,Pinaki Sengupta;Smaran Ghosal;Kamala Adhikari;Lalchand Banerjee,Bengali,110,https://www.imdb.com//title/tt0048956/
De 12 gezworenen,9.0,1957,Henry Fonda;Lee J. Cobb;Martin Balsam;John Fiedler,English,96,https://www.imdb.com//title/tt0050083/
Letyat zhuravli,8.3,1957,Tatyana Samoylova;Aleksey Batalov;Vasiliy Merkurev;Aleksandr Shvorin,Russian,95,https://www.imdb.com//title/tt0050634/
Witness for the Prosecution,8.4,1957,Tyrone Power;Marlene Dietrich;Charles Laughton;Elsa Lanchester,English;German,116,https://www.imdb.com//title/tt0051201/
Pyaasa,8.5,1957,Guru Dutt;Waheeda Rehman;Mala Sinha;Rehman,Hindi,146,https://www.imdb.com//title/tt0050870/
Het veld van eer,8.4,1957,Kirk Douglas;Ralph Meeker;Adolphe Menjou;George Macready,English;German;Latin,88,https://www.imdb.com//title/tt0050825/
Vertigo,8.3,1958,James Stewart;Kim Novak;Barbara Bel Geddes;Tom Helmore,English,128,https://www.imdb.com//title/tt0052357/
I soliti ignoti,8.0,1958,Vittorio Gassman;Marcello Mastroianni;Renato Salvatori;Totò,Italian,106,https://www.imdb.com//title/tt0052216/
Touch of Evil,8.0,1958,Charlton Heston;Orson Welles;Janet Leigh;Joseph Calleia,English;Spanish,95,https://www.imdb.com//title/tt0052311/
De lift naar het schavot,8.0,1958,Jeanne Moreau;Maurice Ronet;Georges Poujouly;Yori Bertin,French;German,91,https://www.imdb.com//title/tt0051378/
Kakushi-toride no san-akunin,8.1,1958,Toshirô Mifune;Misa Uehara;Minoru Chiaki;Kamatari Fujiwara,Japanese,139,https://www.imdb.com//title/tt0051808/
Ningen no jôken,8.5,1959,Tatsuya Nakadai;Michiyo Aratama;Kokinji Katsura;Jun Tatara,Japanese;Mandarin;Russian,181,https://www.imdb.com//title/tt0053115/
North by Northwest,8.3,1959,Cary Grant;Eva Marie Saint;James Mason;Jessie Royce Landis,English;French,136,https://www.imdb.com//title/tt0053125/
Ballada o soldate,8.2,1959,Vladimir Ivashov;Zhanna Prokhorenko;Antonina Maksimova;Nikolay Kryuchkov,Russian,88,https://www.imdb.com//title/tt0052600/
Ningen no jôken,8.5,1959,Tatsuya Nakadai;Michiyo Aratama;Chikage Awashima;Ineko Arima,Japanese;Mandarin,208,https://www.imdb.com//title/tt0053114/
Apur Sansar,8.5,1959,Soumitra Chatterjee;Sharmila Tagore;Alok Chakravarty;Swapan Mukherjee,Bengali,105,https://www.imdb.com//title/tt0052572/
Rocco e i suoi fratelli,8.3,1960,Alain Delon;Renato Salvatori;Annie Girardot;Claudia Cardinale,Italian,179,https://www.imdb.com//title/tt0054248/
Het appartement,8.3,1960,Jack Lemmon;Shirley MacLaine;Fred MacMurray;Ray Walston,English,125,https://www.imdb.com//title/tt0053604/
Psycho,8.5,1960,Anthony Perkins;Janet Leigh;Vera Miles;John Gavin,English,109,https://www.imdb.com//title/tt0054215/
